"","home","home_scores","home_total_shots","home_shots_on_target","home_total_passes","home_long_passes","home_total_dribbles","home_successful_dribbles","home_total_tackles","home_successful_tackles","home_total_interceptions","home_total_clearances","home_total_blocks","home_total_offsides","home_total_fouls","home_total_aerial_duels","home_total_touches","home_total_loss_of_possession","home_turnover","home_total_errors","home_total_saves","home_total_claims","home_total_punches","away","away_scores","away_total_shots","away_shots_on_target","away_total_passes","away_long_passes","away_total_dribbles","away_successful_dribbles","away_total_tackles","away_successful_tackles","away_total_interceptions","away_total_clearances","away_total_blocks","away_total_offsides","away_total_fouls","away_total_aerial_duels","away_total_touches","away_total_loss_of_possession","away_turnover","away_total_errors","away_total_saves","away_total_claims","away_total_punches","result"
"124","Norwich",1,10,3,515,82,18,10,17,13,5,33,19,1,12,30,688,26,14,1,2,3,1,"Crystal Palace",0,13,3,342,62,9,4,28,18,13,35,16,2,14,33,503,16,8,0,2,1,0,"1"
"125","West Ham",3,23,12,374,57,25,14,35,23,7,41,16,3,11,38,567,14,10,0,0,1,1,"Fulham",0,10,0,421,54,21,12,25,11,6,43,14,1,8,30,598,25,8,1,8,3,1,"1"
"126","Newcastle United",2,14,6,457,72,16,5,29,23,15,22,9,4,15,31,608,11,3,1,0,3,0,"West Bromwich Albion",1,14,1,405,63,17,6,23,18,12,43,16,0,15,33,591,26,13,2,4,2,1,"1"
"127","Tottenham",2,10,4,312,49,8,2,32,24,14,20,22,2,9,14,475,33,15,1,1,1,1,"Man Utd",2,8,3,474,65,15,8,24,22,16,40,11,1,15,20,652,29,12,0,2,1,1,"0"
"128","Hull",3,12,4,360,62,12,5,33,25,25,30,11,3,10,18,564,18,9,0,3,0,0,"Liverpool",1,10,4,582,55,25,8,19,14,10,41,11,0,16,13,786,19,10,1,2,2,0,"1"
"129","Man City",3,22,7,503,58,31,19,20,14,10,17,13,3,7,7,654,16,8,0,4,0,1,"Swansea",0,9,4,608,53,10,6,38,19,15,17,9,2,8,8,745,25,14,0,4,1,0,"1"
"130","Chelsea",3,16,7,374,65,30,13,45,34,7,31,18,7,15,28,579,33,19,1,0,2,0,"Southampton",1,9,1,365,64,20,11,42,29,16,47,9,1,14,12,578,46,18,0,4,2,0,"1"
"131","Crystal Palace",1,10,5,276,69,22,3,32,21,10,61,11,2,10,30,460,14,8,0,2,1,1,"West Ham",0,11,2,463,89,24,11,27,24,10,43,14,6,9,36,669,28,18,0,4,1,0,"1"
"132","Arsenal",2,20,7,808,60,21,8,16,11,11,25,12,1,9,19,974,18,10,1,2,0,0,"Hull",0,7,2,401,64,9,5,29,21,17,17,24,2,6,13,531,16,9,0,5,0,0,"1"
"133","Liverpool",5,28,12,614,56,34,19,35,23,12,25,8,2,10,14,822,14,9,0,4,1,0,"Norwich",1,14,5,367,66,21,12,37,18,12,18,18,0,6,12,561,27,10,1,6,0,0,"1"
"134","Man Utd",0,18,6,468,47,16,8,26,17,23,29,15,1,12,19,670,31,15,0,3,1,0,"Everton",1,15,4,445,65,15,9,31,23,13,49,23,2,12,16,639,20,9,0,6,1,1,"-1"
"135","Southampton",2,21,9,714,79,15,6,19,16,15,11,6,3,9,16,894,29,11,0,0,1,0,"Aston Villa",3,6,3,206,60,12,3,30,24,16,35,18,6,13,25,369,21,10,0,7,3,1,"-1"
"136","Stoke",0,17,2,486,68,15,10,20,15,14,19,18,6,11,42,656,26,14,0,3,3,1,"Cardiff",0,14,3,331,63,12,5,26,16,20,47,14,3,12,28,516,26,16,0,2,3,1,"0"
"137","Sunderland",3,13,3,406,58,11,7,38,17,9,20,7,0,15,11,538,23,10,0,2,0,0,"Chelsea",4,19,5,503,57,32,21,24,17,8,36,17,0,14,18,686,16,9,0,0,2,1,"-1"
"138","Swansea",3,13,5,751,55,23,11,32,17,16,25,20,1,4,10,918,30,14,0,3,0,0,"Newcastle",0,15,3,390,61,23,15,38,27,24,22,6,0,8,12,578,36,23,1,3,3,0,"1"
"139","West Bromwich Albion",2,12,1,414,58,17,9,35,26,20,19,8,2,8,12,578,33,15,0,2,4,0,"Manchester City",3,16,5,579,67,22,9,31,22,12,28,16,1,10,13,738,19,4,1,0,2,1,"-1"
"140","Fulham",1,16,6,329,59,21,13,31,23,21,36,20,4,7,17,532,21,12,1,3,0,0,"Tottenham",2,18,5,541,57,21,8,28,15,15,34,18,0,16,10,721,23,10,1,5,2,3,"-1"
"141","Man Utd",0,8,4,384,56,21,8,38,23,17,32,8,2,11,13,560,30,12,1,2,0,0,"Newcastle",1,9,3,444,58,28,15,37,29,20,22,14,2,18,20,634,30,15,0,3,1,0,"-1"
"142","Southampton",1,15,4,442,69,40,18,31,20,11,38,8,6,6,13,650,20,10,0,2,0,1,"Manchester City",1,13,3,366,65,26,11,46,28,16,32,16,2,9,22,560,22,15,2,3,4,0,"0"
"143","Stoke",3,9,3,376,74,12,8,38,21,11,21,10,2,14,35,550,29,19,0,4,4,0,"Chelsea",2,15,6,517,75,28,17,22,14,9,30,14,0,8,20,681,27,14,1,0,1,0,"1"
"144","Crystal Palace",2,19,5,294,66,22,10,32,22,11,53,14,2,9,34,499,23,19,0,2,1,0,"Cardiff",0,10,2,391,77,15,10,23,13,12,58,11,1,12,33,573,31,14,0,3,0,1,"1"
"145","West Bromwich Albion",0,26,12,533,65,18,12,19,15,13,23,14,1,10,20,722,19,13,0,1,0,0,"Norwich",2,8,3,312,79,10,4,23,11,21,42,25,0,6,8,511,30,18,1,10,3,1,"-1"
"146","Liverpool",4,33,9,545,50,36,15,30,18,14,39,13,2,9,27,812,25,14,0,1,1,0,"West Ham",1,9,1,302,59,24,12,43,28,12,34,28,1,12,20,530,20,10,0,6,0,0,"1"
"147","Sunderland",1,12,4,429,59,12,3,39,28,12,13,17,2,14,20,593,18,7,0,4,2,0,"Tottenham",2,22,5,497,58,24,11,23,20,19,24,11,1,9,16,679,31,14,1,3,1,1,"-1"
"148","Fulham",2,22,10,437,79,17,12,31,20,5,43,8,2,12,21,627,31,12,0,2,4,0,"Aston Villa",0,10,2,385,79,27,11,34,22,13,53,15,1,13,25,584,14,6,1,6,2,0,"1"
"149","Arsenal",1,11,5,413,42,19,10,29,20,24,28,15,2,13,10,583,13,6,2,3,1,1,"Everton",1,12,4,524,66,17,9,24,14,18,27,12,1,11,8,696,28,14,1,4,1,1,"0"
"150","Swansea",1,11,2,715,66,29,9,32,17,14,19,13,2,8,12,883,20,12,1,1,1,0,"Hull",1,9,2,384,52,19,15,35,26,18,50,9,2,7,24,556,24,11,0,1,1,0,"0"
"151","Man City",6,22,7,485,48,31,16,32,22,15,27,9,2,12,12,671,13,5,1,3,2,1,"Arsenal",3,12,6,435,40,24,10,38,22,17,29,16,4,6,10,622,22,11,3,1,0,1,"1"
"152","Newcastle United",1,16,5,326,48,25,11,25,20,11,30,16,7,10,18,526,24,14,0,2,2,1,"Southampton",1,8,3,511,85,15,5,32,21,11,35,15,6,16,10,675,20,9,2,3,3,0,"0"
"153","Cardiff",1,11,3,312,62,20,11,19,13,11,42,9,5,16,21,501,20,2,0,2,3,0,"West Bromwich Albion",0,12,2,343,63,9,6,35,24,9,32,11,9,12,21,512,19,7,0,2,4,0,"1"
"154","Chelsea",2,16,7,613,77,35,17,35,24,18,36,8,2,13,16,817,26,11,0,3,1,0,"Crystal Palace",1,10,5,262,59,24,11,50,33,18,35,10,2,7,22,449,21,8,1,5,0,0,"1"
"155","Everton",4,22,7,536,69,18,6,22,16,21,18,10,0,10,8,700,16,6,1,2,1,0,"Fulham",1,16,3,407,74,13,6,27,21,13,25,19,3,7,9,566,21,10,1,3,0,0,"1"
"156","West Ham",0,11,2,305,58,28,16,28,22,19,34,14,0,11,31,499,18,7,0,6,1,1,"Sunderland",0,19,6,435,60,14,6,38,22,11,15,6,1,5,20,603,29,13,0,2,1,0,"0"
"157","Hull",0,13,4,436,43,15,6,17,15,21,32,10,2,11,15,618,31,16,0,2,0,1,"Stoke",0,11,2,513,65,3,2,28,22,14,53,12,4,13,18,701,30,16,0,4,1,1,"0"
"158","Norwich",1,16,3,355,63,19,10,25,19,20,15,13,1,12,17,528,24,10,1,1,4,0,"Swansea",1,10,2,625,80,17,6,33,23,8,44,14,1,11,12,793,23,15,3,1,4,2,"0"
"159","Aston Villa",0,17,6,405,57,13,6,30,21,11,17,13,2,15,14,552,22,13,1,2,2,0,"Manchester United",3,14,5,521,52,19,9,21,15,18,38,8,2,8,13,697,22,9,1,6,1,0,"-1"
"160","Tottenham",0,9,0,370,42,23,14,28,21,12,31,10,0,17,11,548,23,5,2,5,1,1,"Liverpool",5,21,10,507,48,20,7,37,23,13,34,13,4,15,11,678,22,9,2,1,0,1,"-1"
"161","Liverpool",3,27,7,645,47,34,16,31,21,11,34,9,2,11,22,840,24,14,2,2,0,0,"Cardiff",1,10,3,282,61,21,10,44,28,14,28,13,1,13,17,452,26,12,0,4,0,0,"1"
"162","Manchester United",3,21,8,526,56,9,5,19,12,13,31,6,3,7,16,671,17,7,1,0,3,0,"West Ham",1,4,1,315,69,16,7,17,12,4,21,16,2,16,11,435,8,3,1,4,2,0,"1"
"163","Stoke",2,12,2,302,71,11,6,24,18,5,32,12,3,13,48,471,30,11,1,3,2,1,"Aston Villa",1,14,4,265,61,15,6,29,23,5,17,14,3,17,19,413,23,11,1,0,4,0,"1"
"164","Sunderland",0,18,4,499,72,20,10,18,12,8,14,10,1,13,19,662,30,14,0,5,2,1,"Norwich",0,14,5,340,60,10,6,35,25,13,33,13,1,10,16,514,18,8,2,4,3,0,"0"
"165","Crystal Palace",0,10,4,291,70,24,5,36,26,14,22,6,4,11,17,457,20,7,1,4,4,0,"Newcastle United",3,13,6,591,73,21,10,31,26,20,24,11,4,14,20,791,24,6,0,4,0,1,"-1"
"166","Fulham",2,12,5,464,68,16,11,23,18,13,29,17,4,7,12,629,19,10,2,6,0,0,"Man City",4,18,10,544,40,16,5,25,14,13,32,12,2,15,14,709,17,8,1,4,1,1,"-1"
"167","West Bromwich Albion",1,14,3,504,69,18,13,22,16,4,21,13,1,8,17,655,27,15,0,2,0,0,"Hull",1,6,3,340,78,8,6,30,17,21,17,19,2,15,14,484,22,8,0,2,3,1,"0"
"168","Southampton",2,13,5,522,68,23,12,45,30,20,36,15,3,10,18,736,31,15,0,1,1,2,"Tottenham",3,13,3,390,74,30,15,38,26,13,27,15,3,18,22,589,35,16,2,3,2,3,"-1"
"169","Swansea",1,13,3,510,66,12,4,27,18,13,29,16,3,11,16,669,21,11,2,4,1,0,"Everton",2,15,6,420,52,17,9,21,17,9,32,11,1,10,17,585,21,10,0,3,1,0,"-1"
"170","Arsenal",0,7,2,551,57,15,6,27,17,13,42,8,3,7,19,732,19,11,1,4,1,0,"Chelsea",0,13,4,351,46,19,10,23,17,6,36,13,2,11,27,499,17,7,0,1,0,0,"0"
"171","Hull",2,18,5,335,65,5,3,29,23,10,22,16,0,12,19,474,22,18,0,2,0,0,"Manchester United",3,13,4,541,68,22,6,9,6,16,54,9,0,14,20,723,27,12,1,3,1,1,"-1"
"172","Aston Villa",0,10,4,499,81,8,5,25,16,6,18,11,2,11,20,639,24,11,0,6,3,1,"Crystal Palace",1,12,7,266,48,26,9,20,15,19,48,9,4,8,29,460,15,11,0,3,5,0,"-1"
"173","Cardiff",0,9,0,337,81,14,3,21,13,10,23,4,2,11,21,495,31,15,0,3,2,0,"Southampton",3,11,6,542,79,12,8,29,26,9,37,12,2,13,34,707,27,17,0,1,4,3,"-1"
"174","Chelsea",1,19,7,410,57,18,10,28,19,26,24,21,1,14,27,584,20,12,0,1,0,0,"Swansea",0,8,1,497,74,14,9,24,14,21,33,23,2,9,12,680,26,12,0,6,1,1,"1"
"175","Everton",0,26,9,449,53,16,11,16,10,6,20,6,2,11,13,616,26,12,2,5,1,0,"Sunderland",1,13,6,395,72,9,6,28,17,11,26,17,1,7,16,541,18,11,0,8,4,2,"-1"
"176","Newcastle United",5,27,8,487,43,28,17,21,16,7,10,10,0,10,11,644,19,11,0,1,0,0,"Stoke",1,11,2,375,61,6,5,32,15,10,29,14,0,8,16,506,22,7,1,3,2,1,"1"
"177","Norwich",1,13,4,403,80,17,9,22,13,13,31,13,3,13,23,567,17,10,0,4,1,1,"Fulham",2,15,7,409,77,15,9,22,13,18,42,17,2,10,30,584,17,10,1,2,4,1,"-1"
"178","Tottenham",1,20,3,510,79,27,12,24,18,11,21,5,4,8,16,710,33,19,1,3,1,0,"West Bromwich Albion",1,7,4,298,64,14,6,37,25,6,41,26,4,12,8,468,27,15,0,2,1,1,"0"
"179","West Ham",1,12,5,280,54,11,4,14,8,15,37,27,3,11,8,440,16,6,1,5,3,0,"Arsenal",3,29,8,570,52,10,6,20,16,9,49,10,2,6,27,763,13,8,1,4,2,0,"-1"
"180","Man City",2,20,6,513,38,13,6,36,22,15,27,11,1,10,10,682,15,9,1,4,3,0,"Liverpool",1,12,5,477,32,31,14,19,13,9,40,16,3,9,11,661,17,10,1,4,1,0,"1"
"181","West Ham",3,16,6,351,67,17,6,26,17,6,30,21,4,10,33,519,13,7,0,3,1,0,"West Bromwich Albion",3,22,7,419,65,19,9,20,14,7,36,10,3,13,36,590,12,4,2,3,4,0,"0"
"182","Hull",6,21,13,497,52,13,8,26,19,19,12,7,0,11,26,657,27,14,0,2,0,0,"Fulham",0,5,2,469,99,10,7,25,17,16,43,21,0,9,18,638,34,17,0,7,2,1,"1"
"183","Manchester City",1,23,4,814,59,13,8,24,18,9,16,11,0,12,22,969,21,5,0,4,1,2,"Crystal Palace",0,9,4,249,59,21,6,28,20,12,34,21,0,7,18,416,17,11,0,3,4,0,"1"
"184","Norwich",0,15,4,403,55,14,8,32,18,16,25,12,0,11,14,566,25,15,0,2,1,0,"Manchester United",1,7,3,502,52,23,14,22,14,17,66,19,2,10,14,706,26,16,0,4,0,1,"-1"
"185","Aston Villa",1,7,3,266,71,8,5,33,22,14,32,17,1,13,14,412,13,8,0,2,4,0,"Swansea",1,17,3,737,83,27,11,12,7,13,28,12,2,9,17,894,17,10,0,2,0,0,"0"
"186","Cardiff",2,16,7,377,68,12,6,16,12,17,30,10,0,14,12,539,22,13,0,7,1,0,"Sunderland",2,21,9,471,45,8,4,19,13,7,15,13,2,10,9,628,23,13,2,5,2,1,"0"
"187","Newcastle",0,11,3,475,54,17,9,31,23,14,27,15,1,10,27,644,26,12,1,3,1,1,"Arsenal",1,11,5,544,60,19,8,29,20,13,55,17,1,8,18,727,25,11,2,2,2,1,"-1"
"188","Everton",2,9,4,367,71,18,12,32,26,14,35,19,3,9,16,553,38,24,2,1,2,0,"Southampton",1,12,2,457,85,17,6,30,18,9,14,22,3,14,20,611,32,14,0,2,1,0,"1"
"189","Tottenham",3,20,7,618,56,29,15,21,17,17,16,8,0,6,9,803,30,17,0,1,3,0,"Stoke",0,2,1,302,50,13,4,39,24,16,37,18,4,14,18,452,17,8,1,4,1,0,"1"
"190","Chelsea",2,11,5,425,65,22,9,31,19,12,24,17,1,17,13,584,31,14,1,3,1,1,"Liverpool",1,8,4,384,36,20,12,38,29,11,41,11,1,17,18,570,30,18,1,3,1,0,"1"
"191","Swansea",2,16,4,494,53,14,8,28,14,15,36,21,3,5,14,674,23,12,1,1,0,2,"Man City",3,14,4,464,64,19,14,24,16,16,34,12,3,10,14,631,23,14,1,2,2,1,"-1"
"192","West Bromwich Albion",1,13,4,424,50,10,3,25,15,16,28,14,4,7,7,577,25,9,0,3,0,1,"Newcastle United",0,9,3,489,63,18,10,22,19,18,24,12,2,15,23,659,16,7,1,3,5,1,"1"
"193","Southampton",0,12,2,484,53,18,9,41,18,17,28,10,1,13,10,671,48,19,1,2,0,0,"Chelsea",3,11,5,410,61,34,23,44,35,8,32,12,7,10,15,586,18,8,1,2,1,3,"-1"
"194","Stoke",1,10,4,337,51,19,11,33,22,20,22,18,1,16,25,512,33,17,0,3,0,0,"Everton",1,16,4,519,57,20,11,32,21,20,18,13,1,11,10,717,32,16,0,3,1,1,"0"
"195","Sunderland",0,17,1,530,57,16,10,24,17,5,9,8,4,8,10,675,23,9,2,3,0,0,"Aston Villa",1,13,5,295,53,16,7,29,19,10,28,25,1,11,10,452,22,13,0,1,2,0,"-1"
"196","Arsenal",2,28,6,630,49,24,15,13,9,14,35,10,3,6,19,835,13,8,1,2,0,0,"Cardiff",0,8,2,305,72,10,4,28,13,16,32,25,3,11,8,439,9,6,1,4,0,0,"1"
"197","Crystal Palace",1,13,4,305,66,17,10,25,21,18,24,11,0,12,14,492,21,14,0,4,1,0,"Norwich",1,8,5,403,85,13,4,23,13,19,40,15,1,10,19,571,31,18,2,2,1,1,"0"
"198","Fulham",2,30,11,575,69,12,8,17,15,17,37,5,4,6,13,752,12,7,1,2,1,1,"West Ham",1,11,3,265,65,14,2,14,6,15,32,22,4,5,6,423,12,7,0,9,3,0,"1"
"199","Liverpool",2,17,6,561,69,27,15,16,7,9,44,14,1,15,26,762,20,11,0,0,1,0,"Hull",0,10,0,393,83,10,9,33,18,21,9,13,2,15,9,572,20,14,0,4,0,1,"1"
"200","Man Utd",1,17,6,515,76,23,8,22,16,20,24,9,2,7,20,717,27,14,2,2,0,0,"Tottenham",2,9,4,352,59,14,6,31,23,15,45,22,2,7,18,531,27,16,0,5,4,4,"-1"
"201","Hull",0,10,2,393,71,10,2,29,20,12,32,13,2,12,17,540,23,13,0,3,0,1,"Chelsea",2,14,5,492,60,22,9,16,14,11,43,15,0,7,30,666,25,15,1,2,1,0,"-1"
"202","Southampton",1,18,5,583,68,16,5,21,16,10,36,9,3,11,19,739,18,7,0,2,1,1,"West Brom",0,4,2,358,62,5,5,27,22,24,32,15,8,17,21,538,32,16,0,4,3,0,"1"
"203","Cardiff",0,19,7,495,56,16,11,15,7,10,41,7,1,7,29,666,24,13,0,1,2,0,"West Ham",2,10,3,290,64,13,8,25,14,11,55,10,1,16,27,459,16,11,0,7,4,0,"-1"
"204","Tottenham",2,10,4,655,63,18,9,26,18,15,34,11,1,12,14,821,19,6,0,2,5,1,"Crystal Palace",0,14,2,288,51,13,8,29,20,20,33,13,1,12,24,464,27,13,0,2,2,0,"1"
"205","Everton",2,23,5,530,68,24,16,23,20,15,24,9,2,7,14,726,18,10,0,2,1,0,"Norwich",0,11,2,324,68,6,3,30,14,26,36,21,2,14,15,500,29,12,1,3,0,1,"1"
"206","Fulham",1,17,5,470,60,14,8,23,17,10,24,8,3,15,13,635,16,3,1,2,1,0,"Sunderland",4,10,6,338,69,17,6,26,18,7,24,8,0,12,13,469,17,7,1,4,2,1,"-1"
"207","Man Utd",2,16,5,426,38,22,12,16,9,27,24,14,1,9,12,597,28,12,0,2,0,0,"Swansea",0,13,2,687,61,11,7,37,25,11,22,12,0,10,12,838,26,18,0,3,0,1,"1"
"208","Newcastle United",0,13,5,447,58,20,8,20,16,14,29,16,3,18,17,620,26,13,1,4,1,0,"Manchester City",2,14,6,382,48,14,4,31,23,6,53,7,4,15,18,547,13,4,2,5,1,3,"-1"
"209","Stoke",3,14,4,419,53,21,10,24,13,18,25,12,1,10,25,658,26,12,2,5,0,0,"Liverpool",5,13,9,443,56,21,11,33,23,16,48,19,0,8,15,651,13,8,2,2,0,3,"-1"
"210","Aston Villa",1,11,5,369,74,9,2,31,22,11,21,12,4,12,19,524,32,14,1,2,1,2,"Arsenal",2,8,4,682,80,22,9,27,25,10,54,7,5,9,18,868,24,14,2,4,0,1,"-1"
"211","Sunderland",2,10,5,317,83,12,4,29,23,16,22,13,5,8,23,498,26,15,2,6,2,0,"Southampton",2,17,8,556,73,9,6,20,16,16,48,12,1,8,22,771,36,16,1,3,2,0,"0"
"212","West Ham",1,12,3,372,80,12,2,33,23,12,36,12,4,9,24,555,17,6,2,5,2,0,"Newcastle United",3,19,8,420,56,24,10,22,20,9,72,18,3,6,22,648,29,17,0,2,2,0,"-1"
"213","Arsenal",2,22,8,692,38,19,13,22,18,21,26,18,1,5,14,882,25,15,4,2,2,0,"Fulham",0,8,2,488,55,13,4,29,16,21,28,19,1,7,9,631,16,7,0,4,0,0,"1"
"214","Crystal Palace",1,12,6,359,62,22,8,29,20,11,45,12,2,9,27,547,28,16,0,2,1,0,"Stoke",0,17,2,465,66,21,9,31,23,9,38,14,2,13,38,660,27,17,1,5,0,0,"1"
"215","Manchester City",4,24,9,590,52,19,12,29,16,12,24,7,3,6,18,759,17,6,0,4,1,1,"Cardiff",2,7,6,353,61,15,13,29,17,11,34,17,3,5,7,521,25,10,0,6,1,0,"1"
"216","Norwich",1,25,4,431,64,15,3,14,11,7,29,9,1,8,27,599,19,9,0,0,3,0,"Hull",0,10,0,339,74,9,3,25,22,23,39,18,1,16,18,524,20,14,0,3,1,2,"1"
"217","Liverpool",2,14,6,459,58,22,9,20,16,6,54,18,3,14,13,693,32,24,3,1,1,0,"Aston Villa",2,12,3,352,74,14,4,29,20,3,28,8,1,18,29,524,18,9,0,4,2,0,"0"
"218","Swansea",1,14,3,653,60,20,10,35,22,15,18,11,2,6,11,828,32,11,0,3,3,1,"Tottenham",3,11,5,512,45,23,13,40,30,26,22,19,2,9,11,690,26,12,0,2,1,1,"-1"
"219","Chelsea",3,13,6,359,53,21,10,29,22,8,51,14,2,15,14,531,22,4,1,3,2,0,"Man Utd",1,10,4,445,57,21,7,37,27,13,32,10,2,21,15,624,28,18,0,3,0,0,"1"
"220","West Brom",1,14,6,439,61,10,5,33,23,24,54,14,2,16,26,663,28,16,0,3,0,0,"Everton",1,13,4,449,79,20,10,21,16,9,39,17,2,12,18,637,25,10,0,5,2,0,"0"
"221","Manchester United",2,17,5,467,56,16,9,31,23,16,36,7,4,9,9,625,10,6,0,1,0,0,"Cardiff",0,7,1,543,67,20,8,19,10,14,21,8,2,9,11,694,22,9,0,3,3,0,"1"
"222","Norwich",0,9,2,329,73,12,4,30,15,11,33,17,2,13,18,497,24,14,0,3,2,1,"Newcastle United",0,21,3,380,49,20,15,20,16,20,26,19,3,7,20,570,25,14,0,2,1,1,"0"
"223","Southampton",2,13,5,524,60,25,14,41,29,21,30,16,2,11,16,715,19,10,0,2,0,1,"Arsenal",2,7,4,485,58,28,12,32,18,17,35,19,2,4,10,682,22,7,2,4,2,3,"0"
"224","Swansea",2,14,7,640,58,11,5,27,18,24,22,14,0,13,11,801,23,16,1,4,0,1,"Fulham",0,15,4,393,62,18,9,17,12,15,42,11,2,10,26,561,20,11,0,5,2,0,"1"
"225","Crystal Palace",1,13,3,301,63,20,8,27,18,23,46,8,1,14,28,490,18,11,1,4,4,1,"Hull",0,13,4,506,81,18,9,25,17,11,43,9,2,8,33,675,19,10,0,2,0,0,"1"
"226","Liverpool",4,20,9,350,61,25,5,45,25,15,44,16,1,11,15,567,18,13,1,4,1,1,"Everton",0,19,4,528,60,35,20,27,22,9,18,8,0,13,7,752,28,14,3,5,0,0,"1"
"227","Aston Villa",4,11,6,372,90,16,6,29,23,16,14,17,8,14,14,516,19,7,0,2,1,0,"West Bromwich Albion",3,12,4,479,64,10,6,28,22,19,26,11,7,9,12,647,34,13,0,2,0,0,"1"
"228","Sunderland",1,16,6,410,66,29,17,34,29,8,28,8,1,16,13,598,27,13,1,6,3,0,"Stoke",0,14,5,443,64,15,5,42,25,6,11,11,0,15,25,593,36,16,2,5,0,0,"1"
"229","Chelsea",0,39,9,558,53,18,11,19,14,7,22,9,2,12,21,742,23,13,0,1,2,0,"West Ham",0,1,1,213,65,12,5,27,16,10,52,21,1,11,21,377,15,8,0,9,0,0,"0"
"230","Tottenham",1,4,2,341,53,21,10,31,23,20,18,14,2,11,14,497,34,8,0,4,0,0,"Man City",5,24,10,659,58,19,8,44,34,14,14,8,2,10,10,838,23,8,0,1,1,1,"-1"
"231","Newcastle",0,28,10,328,44,16,5,32,23,16,18,14,2,18,26,505,16,8,0,2,0,0,"Sunderland",3,16,5,328,67,20,9,21,16,7,28,17,0,13,18,508,29,15,0,9,4,0,"-1"
"232","West Ham",2,11,4,276,58,8,3,32,25,8,59,30,0,7,25,462,20,8,0,0,3,0,"Swansea",0,20,0,513,50,20,7,18,15,10,38,14,2,7,7,714,24,9,1,2,2,1,"1"
"233","Stoke",2,13,4,273,48,28,12,28,18,12,48,19,3,18,22,485,25,15,1,3,6,0,"Man Utd",1,20,4,450,52,17,10,36,24,6,42,8,3,7,14,653,22,10,1,3,5,0,"1"
"234","Cardiff",2,13,4,393,58,16,9,35,23,9,52,23,2,8,22,607,28,13,1,4,2,2,"Norwich",1,27,6,391,68,23,12,27,18,13,39,11,2,9,20,609,26,12,1,3,0,0,"1"
"235","Everton",2,13,6,581,91,20,9,15,13,7,31,6,9,4,12,743,20,8,0,0,1,0,"Aston Villa",1,4,1,241,59,7,2,28,19,13,30,17,3,18,17,360,13,4,0,4,1,0,"1"
"236","Hull",1,9,4,308,63,4,4,24,16,20,29,26,4,13,20,463,26,12,0,2,0,4,"Tottenham",1,19,3,493,65,12,8,18,14,16,33,15,5,9,29,666,25,13,1,2,0,0,"0"
"237","Fulham",0,8,4,361,63,22,6,27,21,18,44,11,5,10,17,544,25,18,1,2,1,0,"Southampton",3,17,5,553,87,15,6,26,20,24,34,10,2,9,17,742,20,8,1,4,1,0,"-1"
"238","West Brom",1,12,4,434,47,9,4,44,22,29,26,23,0,13,17,667,30,15,1,2,1,1,"Liverpool",1,12,3,445,60,39,22,24,20,17,37,15,2,15,16,696,19,11,2,3,2,0,"0"
"239","Arsenal",2,11,6,797,43,17,6,29,22,11,33,17,0,9,18,970,37,16,0,2,1,0,"Crystal Palace",0,10,2,282,35,21,7,37,31,28,19,14,3,14,9,451,20,10,0,4,1,0,"1"
"240","Man City",0,24,3,489,65,14,11,50,33,10,29,10,0,11,23,699,24,12,1,5,1,0,"Chelsea",1,18,6,270,61,37,17,26,15,10,56,21,4,13,30,472,22,6,0,3,0,1,"-1"
"241","Liverpool",5,22,12,377,61,25,13,53,35,10,37,14,4,14,10,608,13,7,0,5,1,0,"Arsenal",1,11,6,506,44,45,18,29,16,11,38,9,0,14,14,755,20,9,2,7,1,0,"1"
"242","Crystal Palace",3,10,6,266,63,23,7,28,18,29,36,20,1,13,18,453,23,8,0,6,0,0,"West Bromwich Albion",1,17,7,505,63,13,10,36,29,18,24,14,1,13,20,704,43,26,2,3,0,0,"1"
"243","Aston Villa",0,16,1,533,74,8,1,12,8,8,22,14,2,8,24,681,16,10,1,0,3,1,"West Ham",2,10,2,249,65,8,4,12,11,7,69,17,4,8,24,431,20,12,0,1,2,0,"-1"
"244","Chelsea",3,18,8,519,61,22,9,47,33,11,28,7,2,7,10,712,22,13,0,6,1,0,"Newcastle United",0,12,6,365,44,29,14,29,20,19,26,15,0,10,11,545,29,7,0,5,1,0,"1"
"245","Norwich",0,7,2,301,62,12,6,24,14,9,47,22,2,7,7,454,15,5,0,2,1,1,"Manchester City",0,15,2,624,56,16,10,21,15,10,31,11,1,6,15,790,17,9,0,2,2,0,"0"
"246","Southampton",2,18,5,509,56,26,10,30,23,10,39,14,0,7,15,710,17,11,0,2,2,0,"Stoke",2,5,4,326,61,17,7,31,21,8,33,19,4,14,26,501,31,17,1,3,3,1,"0"
"247","Sunderland",0,7,3,418,69,16,8,19,10,15,21,13,1,12,8,567,19,14,0,7,2,0,"Hull",2,25,9,535,68,10,9,20,12,11,17,14,3,16,23,681,17,8,0,3,0,1,"-1"
"248","Swansea",3,17,6,588,57,24,6,37,28,5,37,8,1,7,13,779,20,12,0,1,0,0,"Cardiff",0,7,1,371,68,16,9,24,18,16,20,15,2,7,18,532,33,10,0,3,3,0,"1"
"249","Tottenham",1,8,2,367,53,25,11,42,25,21,18,16,0,9,12,555,36,11,0,3,2,0,"Everton",0,10,3,438,59,29,17,48,37,14,30,16,4,13,11,630,20,5,1,1,0,1,"1"
